"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg","Rdate","Season"
"RICKARD-Andrew","URBANA UNIV.","home","12/15/10","no",1,0,0,0,0,0,0,0,0,0,1,0,1,0.4,0,0,0,1,0,0,0,1,2010-12-15,"2010-2011"
"SNOW-Jason","URBANA UNIV.","home","12/15/10","no",25,5,8,0.625,0,0,0,1,2,0.5,3,3,6,3.9,2,0,1,2,0,0,11,3.9,2010-12-15,"2010-2011"
"TURNER-Jamal","URBANA UNIV.","home","12/15/10","yes",26,1,4,0.25,0,1,0,0,0,0,0,2,2,1.9,2,0,4,2,1,1,2,2.5,2010-12-15,"2010-2011"
"WEAVER-Bill","URBANA UNIV.","home","12/15/10","no",11,3,5,0.6,0,0,0,2,4,0.5,3,1,4,3,2,0,2,1,0,0,8,7,2010-12-15,"2010-2011"
"COHEN-Iddo","at Kutztown","away","1/3/11","no",12,2,2,1,0,0,0,0,0,0,2,0,2,2,1,0,0,2,0,0,4,2.1,2011-01-03,"2010-2011"
"DUPITON-Olivier","at Kutztown","away","1/3/11","yes",17,1,1,1,0,0,0,1,2,0.5,0,0,0,2.1,4,0,0,3,0,0,3,6.2,2011-01-03,"2010-2011"
"ELLINGTON-Keith","at Kutztown","away","1/3/11","no",6,0,0,0,0,0,0,0,1,0,0,1,1,0.4,0,0,0,0,0,1,0,0.9,2011-01-03,"2010-2011"
"JACKSON-Shelton","at Kutztown","away","1/3/11","yes",29,5,7,0.714,1,2,0.5,2,2,1,0,4,4,4.7,3,0,3,3,1,3,13,10.2,2011-01-03,"2010-2011"
"LEAO-Luis","at Kutztown","away","1/3/11","yes",30,6,12,0.5,0,2,0,2,2,1,3,12,15,10.1,4,0,6,1,2,3,14,16.6,2011-01-03,"2010-2011"
"OUEGNIN-Jonathan","at Kutztown","away","1/3/11","no",18,3,7,0.429,0,2,0,0,0,0,0,2,2,1.6,1,0,0,0,0,0,6,2.6,2011-01-03,"2010-2011"
"PENN-Joe","at Kutztown","away","1/3/11","no",2,0,1,0,0,1,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,1.2,2011-01-03,"2010-2011"
"RATNER-Heiden","at Kutztown","away","1/3/11","yes",30,4,14,0.286,2,11,0.182,5,6,0.833,0,2,2,3.1,1,0,3,1,0,2,15,21.1,2011-01-03,"2010-2011"
"SNOW-Jason","at Kutztown","away","1/3/11","no",17,0,2,0,0,1,0,2,4,0.5,1,2,3,3.8,2,0,0,2,1,2,2,3.7,2011-01-03,"2010-2011"
"TURNER-Jamal","at Kutztown","away","1/3/11","yes",24,0,2,0,0,1,0,2,4,0.5,0,3,3,2,5,1,1,4,0,2,2,2.4,2011-01-03,"2010-2011"
"WEAVER-Bill","at Kutztown","away","1/3/11","no",15,4,8,0.5,0,0,0,0,1,0,1,1,2,2.9,1,0,0,1,0,2,8,7.1,2011-01-03,"2010-2011"
"COHEN-Iddo","at ESU","away","01/04/11","no",2,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4,0,0,0,0,0,0,1.9,2011-01-04,"2010-2011"
"DUPITON-Olivier","at ESU","away","01/04/11","yes",23,1,2,0.5,0,0,0,1,2,0.5,0,1,1,2,4,0,1,1,2,2,3,5.9,2011-01-04,"2010-2011"
"ELLINGTON-Keith","at ESU","away","01/04/11","no",10,2,4,0.5,1,2,0.5,0,0,0,0,1,1,0.5,1,0,0,0,0,0,5,1.4,2011-01-04,"2010-2011"
"JACKSON-Shelton","at ESU","away","01/04/11","yes",37,8,12,0.667,1,3,0.333,6,10,0.6,4,5,9,5.1,2,0,3,3,0,1,23,11.5,2011-01-04,"2010-2011"
"LEAO-Luis","at ESU","away","01/04/11","yes",31,6,12,0.5,1,2,0.5,6,6,1,2,6,8,9.9,5,1,1,5,1,2,19,16.8,2011-01-04,"2010-2011"
"OUEGNIN-Jonathan","at ESU","away","01/04/11","no",5,0,0,0,0,0,0,0,0,0,0,1,1,1.5,0,0,0,1,0,1,0,2.3,2011-01-04,"2010-2011"
"RATNER-Heiden","at ESU","away","01/04/11","yes",40,8,19,0.421,3,9,0.333,6,9,0.667,0,0,0,2.8,4,0,3,4,0,3,25,21.5,2011-01-04,"2010-2011"
"SNOW-Jason","at ESU","away","01/04/11","no",22,0,0,0,0,0,0,0,0,0,1,1,2,3.6,3,0,3,3,1,0,0,3.3,2011-01-04,"2010-2011"
"TURNER-Jamal","at ESU","away","01/04/11","yes",36,0,2,0,0,1,0,2,5,0.4,2,5,7,2.5,1,0,9,1,0,3,2,2.4,2011-01-04,"2010-2011"
"WEAVER-Bill","at ESU","away","01/04/11","no",19,4,5,0.8,0,0,0,1,3,0.333,1,1,2,2.8,3,0,0,0,0,0,9,7.3,2011-01-04,"2010-2011"
"COHEN-Iddo","MANSFIELD UNIV.","home","01/08/11","no",5,0,0,0,0,0,0,0,0,0,1,0,1,1.7,4,0,0,1,0,0,0,1.7,2011-01-08,"2010-2011"
"DUPITON-Olivier","MANSFIELD UNIV.","home","01/08/11","yes",26,2,2,1,0,0,0,1,4,0.25,0,4,4,2.2,3,0,1,3,0,1,5,5.8,2011-01-08,"2010-2011"
"ELLINGTON-Keith","MANSFIELD UNIV.","home","01/08/11","no",9,1,2,0.5,0,0,0,2,2,1,0,1,1,0.6,0,0,0,1,0,0,4,1.7,2011-01-08,"2010-2011"
"JACKSON-Shelton","MANSFIELD UNIV.","home","01/08/11","yes",31,4,7,0.571,1,2,0.5,9,11,0.818,7,0,7,5.3,2,0,0,2,2,2,18,12.1,2011-01-08,"2010-2011"
"LEAO-Luis","MANSFIELD UNIV.","home","01/08/11","yes",31,5,12,0.417,0,4,0,5,10,0.5,2,5,7,9.6,4,0,1,6,0,1,15,16.6,2011-01-08,"2010-2011"
"PENN-Joe","MANSFIELD UNIV.","home","01/08/11","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0,0,0,0,1,2011-01-08,"2010-2011"
"RATNER-Heiden","MANSFIELD UNIV.","home","01/08/11","yes",34,9,18,0.5,4,10,0.4,5,8,0.625,0,0,0,2.5,2,0,1,2,0,1,27,22,2011-01-08,"2010-2011"
"RICKARD-Andrew","MANSFIELD UNIV.","home","01/08/11","no",4,1,1,1,1,1,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,3,1.3,2011-01-08,"2010-2011"
"SNOW-Jason","MANSFIELD UNIV.","home","01/08/11","no",18,0,1,0,0,0,0,0,0,0,0,2,2,3.5,2,0,1,1,0,0,0,3,2011-01-08,"2010-2011"
"TURNER-Jamal","MANSFIELD UNIV.","home","01/08/11","yes",27,0,1,0,0,0,0,0,1,0,0,1,1,2.4,4,0,7,1,1,0,0,2.2,2011-01-08,"2010-2011"
"WEAVER-Bill","MANSFIELD UNIV.","home","01/08/11","no",15,2,3,0.667,0,0,0,0,2,0,0,2,2,2.7,0,0,1,1,1,2,4,7,2011-01-08,"2010-2011"
"COHEN-Iddo","BLOOMSBURG","home","1/09/11","no",16,2,4,0.5,0,0,0,0,1,0,1,2,3,1.8,1,0,0,0,1,1,4,1.9,2011-01-09,"2010-2011"
"DUPITON-Olivier","BLOOMSBURG","home","1/09/11","yes",22,0,2,0,0,0,0,0,0,0,2,1,3,2.3,3,0,0,3,0,4,0,5.3,2011-01-09,"2010-2011"
"JACKSON-Shelton","BLOOMSBURG","home","1/09/11","yes",29,4,7,0.571,0,1,0,7,9,0.778,3,2,5,5.3,3,0,2,1,2,1,15,12.3,2011-01-09,"2010-2011"
"LEAO-Luis","BLOOMSBURG","home","1/09/11","yes",20,2,8,0.25,0,3,0,2,2,1,2,1,3,9.1,5,1,0,0,0,2,6,15.8,2011-01-09,"2010-2011"
"PENN-Joe","BLOOMSBURG","home","1/09/11","no",3,0,1,0,0,1,0,0,0,0,0,1,1,0.6,0,0,0,0,0,0,0,0.9,2011-01-09,"2010-2011"
"RATNER-Heiden","BLOOMSBURG","home","1/09/11","yes",35,11,18,0.611,5,10,0.5,4,4,1,1,2,3,2.6,2,0,2,3,0,0,31,22.8,2011-01-09,"2010-2011"
"RICKARD-Andrew","BLOOMSBURG","home","1/09/11","no",13,2,3,0.667,1,2,0.5,2,4,0.5,1,2,3,0.7,0,0,1,3,0,0,7,2.1,2011-01-09,"2010-2011"
"SNOW-Jason","BLOOMSBURG","home","1/09/11","no",18,1,1,1,0,0,0,0,0,0,1,5,6,3.7,2,0,2,1,0,0,2,2.9,2011-01-09,"2010-2011"
"TURNER-Jamal","BLOOMSBURG","home","1/09/11","yes",27,2,3,0.667,0,1,0,3,7,0.429,0,2,2,2.3,2,0,3,0,0,0,7,2.6,2011-01-09,"2010-2011"
"WEAVER-Bill","BLOOMSBURG","home","1/09/11","no",17,2,5,0.4,0,0,0,2,2,1,0,0,0,2.5,0,0,1,3,0,1,6,6.9,2011-01-09,"2010-2011"
"CHARITY-Bryheem","at Lock Haven University","away","1/12/11","no",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-12,"2010-2011"
"COHEN-Iddo","at Lock Haven University","away","1/12/11","no",6,0,1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1,0,0,0,1.8,2011-01-12,"2010-2011"
"DUPITON-Olivier","at Lock Haven University","away","1/12/11","yes",10,4,4,1,0,0,0,0,1,0,0,3,3,2.3,4,0,0,1,0,0,8,5.5,2011-01-12,"2010-2011"
"DURISKO-Matt","at Lock Haven University","away","1/12/11","no",2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2011-01-12,"2010-2011"
"ELLINGTON-Keith","at Lock Haven University","away","1/12/11","no",19,3,4,0.75,1,2,0.5,1,1,1,0,2,2,0.7,2,0,0,4,0,2,8,2.3,2011-01-12,"2010-2011"
"JACKSON-Shelton","at Lock Haven University","away","1/12/11","yes",27,5,8,0.625,1,2,0.5,3,5,0.6,0,3,3,5.1,3,0,3,3,0,1,14,12.5,2011-01-12,"2010-2011"
"LEAO-Luis","at Lock Haven University","away","1/12/11","yes",23,3,4,0.75,0,0,0,8,10,0.8,3,5,8,9,3,0,2,2,1,1,14,15.6,2011-01-12,"2010-2011"
